Country,Scale,Base Year,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"Korea, Rep. of",Millions,, , , , , , , , , , ,249870.00 ,301710.00 ,365880.00 ,518540.00 ,739680.00 ,831390.00 ,1066070.00 ,1313620.00 ,1692890.00 ,2212660.00 ,2796600.00 ,3438100.00 ,4267700.00 ,5527400.00 ,7905000.00 ,10543600.00 ,14472800.00 ,18608100.00 ,25154400.00 ,32402300.00 ,39725100.00 ,49669800.00 ,57286600.00 ,68080100.00 ,78591300.00 ,88129700.00 ,102985900.00 ,121697800.00 ,145994800.00 ,165801800.00 ,200556300.00 ,242481100.00 ,277540700.00 ,315181300.00 ,372493400.00 ,436988700.00 ,490850900.00 ,542001800.00 ,537215400.00 ,591453000.00 ,651634300.00 ,707021300.00 ,784741300.00 ,837365100.00 ,908439300.00 ,957447800.00 ,1005601500.00 ,1089660200.00 ,1154216600.00 ,1205347800.00 ,1322611200.00 ,1388937200.00 ,1440111300.00 ,1500819200.00 ,1562929000.00 ,1658020400.00 ,1740779600.00 ,1835698300.00 ,1898192600.00 ,1924498000.00 ,1933152400.00 ,2057447700.00 
"Kosovo, Rep. of",Millions,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3537.60 ,3610.44 ,4030.99 ,4555.89 ,4797.26 ,5071.32 ,5325.09 ,5674.41 ,6037.27 ,6356.46 ,6671.51 ,7056.16 ,6771.60 ,7816.58 
Kuwait,Millions,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,32580.60 ,39619.80 ,30496.20 ,33079.10 ,42511.60 ,48722.20 ,49392.00 ,46285.60 ,34474.00 ,33055.80 ,36610.70 ,41731.08 ,41349.34 ,32445.00 , 
Kyrgyz Rep.,Millions,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,738.44 ,5336.18 ,12019.20 ,16145.10 ,23399.30 ,30685.70 ,34181.40 ,48744.00 ,65357.90 ,73883.30 ,75366.68 ,83871.61 ,94350.73 ,100899.20 ,113800.10 ,141897.70 ,187991.90 ,201222.90 ,220369.30 ,285989.10 ,310471.30 ,355294.80 ,400694.00 ,430489.40 ,476331.20 ,530476.00 ,569385.60 ,619102.70 ,598344.50 , 
Lao People's Dem. Rep.,Millions,, , , , , , , , , , , , , ,152.45 ,310.78 ,360.22 ,421.87 ,468.72 ,508.02 ,568.47 ,626.01 ,665.71 ,861.96 ,1225.76 ,1905.62 ,2636.52 ,3010.32 ,5605.28 ,6165.80 ,6233.82 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,81610000.00 ,93868000.00 ,106797000.00 ,117252000.00 ,129279000.00 ,140697700.00 ,152414200.00 ,162657000.00 ,172611900.00 , 
Latvia,Millions,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4059.34 ,4682.21 ,5395.98 ,6014.66 ,6272.63 ,6868.49 ,7470.97 ,8406.37 ,9571.79 ,11096.72 ,13662.28 ,17199.98 ,22703.84 ,24527.91 ,19000.01 ,18087.98 ,19763.84 ,21924.46 ,22749.01 ,23625.80 ,24572.13 ,25371.32 ,26984.43 ,29153.56 ,30647.22 ,29456.82 ,32866.51 
Lebanon,Millions,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,31898440.70 ,32407234.77 ,33199235.10 ,37427237.68 ,43896766.03 ,53364871.26 ,57954189.87 ,60190142.39 ,66384257.78 ,70715823.34 ,72561122.87 ,75474413.72 ,77469397.32 ,80387137.45 ,83328807.51 ,80736118.96 ,95795731.15 , 
"Lesotho, Kingdom of",Millions,, , , , , , , , , , , , , ,33.37 ,37.07 ,41.18 ,45.75 ,50.82 ,61.76 ,77.49 ,96.58 ,117.72 ,140.01 ,166.09 ,200.14 ,233.36 ,274.56 ,222.92 ,297.78 ,310.65 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,16358.00 ,18726.00 ,20347.00 ,22841.00 ,26492.00 ,30107.00 ,31354.00 ,30727.00 ,33272.00 ,35460.00 ,37452.00 , 
Liberia,Millions,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,35313.25 ,43910.37 ,58240.23 ,42368.41 ,49262.67 ,53920.72 ,64340.22 ,82336.98 ,105916.11 ,120539.60 ,140405.31 ,169036.48 ,196622.08 ,235971.94 ,259264.44 ,266477.24 ,307451.50 ,374268.86 ,470223.22 ,574244.32 ,581688.97 , 
Libya,Millions,, , , , , , , , , , , , , ,468.88 ,704.61 ,957.30 ,1273.55 ,1519.65 ,2036.68 ,2525.13 ,2485.73 ,2281.45 ,2482.79 ,2733.84 ,3588.40 ,4075.38 ,5270.35 ,6099.07 ,6025.97 ,8312.19 ,11528.59 ,9959.59 ,9929.93 ,9462.72 ,8860.97 ,8715.83 ,7555.77 ,6621.36 ,7169.08 ,7965.76 ,8671.66 ,9515.06 ,10106.64 ,9885.85 ,10559.22 ,11313.84 ,12903.92 ,13937.80 ,14004.80 ,16685.82 ,19601.76 ,20639.95 ,26012.43 ,33617.86 ,43058.72 ,61931.79 ,72198.23 ,85245.50 ,90344.60 ,63689.10 ,87375.10 ,39171.10 ,100627.30 ,65994.40 ,30871.00 ,23778.20 ,25786.27 ,41855.38 ,57400.69 ,54719.74 ,26613.61 , 
Lithuania,Millions,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7760.93 ,9711.15 ,11722.43 ,13021.02 ,12710.58 ,13351.45 ,14177.01 ,15182.39 ,16650.00 ,18219.67 ,20979.92 ,24053.29 ,29011.22 ,32660.07 ,26897.01 ,28033.83 ,31317.17 ,33410.16 ,35039.54 ,36581.31 ,37345.70 ,38889.86 ,42276.30 ,45514.80 ,48859.87 ,49507.22 ,55383.12 
Luxembourg,Millions,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,15239.44 ,16037.15 ,17349.21 ,18131.02 ,20547.76 ,22986.03 ,23879.89 ,25011.09 ,26227.29 ,28189.39 ,30280.99 ,34175.05 ,37641.90 ,40009.56 ,39050.74 ,42402.72 ,44323.47 ,46526.24 ,49094.49 ,51791.32 ,54142.30 ,56208.07 ,58168.78 ,60362.21 ,62704.17 ,64221.14 ,73313.48 
"Madagascar, Rep. of",Millions,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,15974090.00 ,18322510.00 ,18812600.00 ,20863370.00 ,23393790.00 ,25415470.00 ,27417730.00 ,30240590.00 ,33216180.00 ,37637590.00 ,41058840.00 ,46600690.00 ,52532780.00 ,51758020.00 , 
Malawi,Millions,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2454.00 ,2705.00 ,3041.00 ,3509.00 ,4169.00 ,4749.00 ,5366.00 ,6260.00 ,8345.00 ,10253.00 ,11522.00 ,15082.00 ,15832.00 ,22259.00 ,25594.00 ,52148.00 ,85257.00 ,106928.00 ,132810.00 ,191167.00 ,253471.00 ,301640.00 ,377436.00 ,440249.00 ,533018.00 ,609565.00 ,765649.00 ,873554.00 ,1052790.00 ,1230570.00 ,1474650.00 ,1763870.00 ,2114440.00 ,2831660.00 ,3618120.00 ,4503570.00 ,5552070.00 ,6531220.00 ,7235940.00 ,8219850.00 ,8815340.00 , 
Malaysia,Millions,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,821434.00 ,911733.00 ,971252.00 ,1018614.00 ,1106443.27 ,1176941.19 ,1249697.69 ,1372309.83 ,1447451.13 ,1510692.57 ,1415162.85 , 
Maldives,Millions,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,56866.00 ,63146.65 ,67300.32 ,73152.50 ,81586.19 ,86787.85 ,57602.90 , 
Mali,Millions,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,743753.67 ,848539.56 ,819291.61 ,865056.04 ,1239996.83 ,1416037.18 ,1610218.31 ,1676208.57 ,1932133.85 ,2117674.00 ,2103270.24 ,2540202.71 ,2711115.44 ,2733678.21 ,2876233.00 ,3294055.00 ,3607837.00 ,3903961.00 ,4366470.00 ,4807339.00 ,5288939.00 ,6123929.00 ,6352360.00 ,6543944.00 ,7113832.92 ,7747690.00 ,8311915.00 ,8922205.00 ,9481952.94 ,10125594.33 ,9976023.53 , 
Malta,Millions,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3059.66 ,3209.69 ,3410.66 ,3629.17 ,3829.56 ,4153.35 ,4285.84 ,4515.60 ,4787.52 ,4895.55 ,5159.25 ,5403.00 ,5790.28 ,6206.02 ,6259.64 ,6815.80 ,6924.60 ,7364.46 ,7944.35 ,8751.10 ,9996.71 ,10541.13 ,11954.68 ,12957.12 ,14042.23 ,13059.87 ,14533.82 
"Marshall Islands, Rep. of the",Millions,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,111.00 ,114.00 ,115.00 ,115.00 ,122.00 ,132.00 ,131.00 ,133.00 ,137.00 ,142.00 ,148.00 ,152.00 ,150.00 ,160.00 ,172.00 ,181.00 ,185.00 ,182.00 ,184.00 ,201.00 ,212.00 ,222.00 ,236.00 ,244.00 , 
"Mauritania, Islamic Rep. of",Millions,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,38304.84 ,41607.90 ,42516.91 ,44634.48 ,48289.61 ,53951.34 ,62684.95 ,77980.68 ,105279.85 ,112387.26 ,124019.07 ,123694.88 ,155297.48 ,190166.09 ,199572.13 ,217184.51 ,199572.60 ,200220.60 ,225473.20 ,243406.90 ,262320.02 ,289478.03 ,294388.90 , 
Mauritius,Millions,, , , , , , , , , , , , , ,1269.69 ,1205.53 ,1272.14 ,1260.73 ,1335.68 ,1334.22 ,1433.89 ,1444.83 ,1513.28 ,1722.75 ,2186.52 ,3049.54 ,3543.75 ,4888.20 ,5686.88 ,6539.60 ,7634.02 ,9413.57 ,10396.77 ,12133.66 ,13833.54 ,15090.89 ,17101.27 ,20063.67 ,24383.21 ,29503.15 ,34404.27 ,40221.73 ,46598.26 ,52174.94 ,60981.11 ,68881.76 ,76153.39 ,81279.42 ,89552.76 ,103065.76 ,114231.01 ,127815.86 ,140326.69 ,151461.11 ,169457.47 ,188897.43 ,199845.59 ,222870.00 ,255211.00 ,284254.00 ,291756.00 ,307957.00 ,330647.00 ,350644.00 ,372397.00 ,392062.00 ,409893.00 ,434765.00 ,457201.00 ,481256.00 ,498273.00 ,429692.00 , 
Mexico,Millions,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1560093.30 ,1781422.50 ,2311458.50 ,3123167.90 ,3962524.20 ,4810123.50 ,5738466.40 ,6693683.00 ,7069377.30 ,7455459.20 ,7868809.60 ,8828367.40 ,9562648.10 ,10630939.40 ,11504075.50 ,12353845.30 ,12162762.80 ,13366377.20 ,14665576.50 ,15817754.60 ,16277187.10 ,17484305.60 ,18572109.40 ,20129057.40 ,21934167.60 ,23524390.20 ,24453296.20 ,23357377.80 ,26212980.80 
"Micronesia, Federated States of",Millions,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,137.00 ,144.20 ,157.60 ,175.50 ,188.60 ,206.10 ,213.20 ,221.60 ,218.50 ,206.60 ,218.90 ,220.10 ,233.30 ,241.00 ,242.50 ,245.40 ,240.20 ,250.30 ,253.50 ,256.80 ,263.10 ,280.30 ,296.90 ,311.30 ,327.20 ,317.20 ,319.30 ,316.50 ,332.30 ,366.70 ,401.90 ,415.70 ,411.90 , 
"Moldova, Rep. of",Millions,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,16019.56 ,19051.53 ,22555.86 ,27618.92 ,32031.78 ,37651.87 ,44754.37 ,53429.57 ,62921.54 ,60429.80 ,86275.38 ,98772.81 ,105480.18 ,119532.87 ,133481.63 ,145753.64 ,160814.56 ,178880.89 ,192508.55 ,210378.06 ,205432.30 , 
Mongolia,Millions,, , ,1592.34 ,1702.21 ,1819.67 ,1945.22 ,2079.44 ,2222.93 ,2376.31 ,2540.27 ,2715.55 ,2902.93 ,3103.23 ,3317.35 ,3546.25 ,3790.94 ,4052.51 ,4332.14 ,4631.05 ,4954.94 ,5387.42 ,5639.93 ,5843.44 ,6363.86 ,6632.42 ,7064.32 ,7340.13 ,7911.55 ,8506.50 ,8869.25 ,9436.91 ,10374.02 ,11462.57 ,12240.98 ,12567.04 ,13092.59 ,13006.12 ,13564.36 ,14390.55 ,14991.12 ,14619.66 ,26416.81 ,65607.89 ,266120.84 ,446621.53 ,761454.34 ,862607.65 ,1090451.22 ,1105102.73 ,1262980.31 ,1430745.49 ,1629524.66 ,1814233.62 ,2137227.76 ,2749149.75 ,3041405.70 ,4027558.60 ,4956647.20 ,6555569.40 ,6590637.10 ,9756588.40 ,13173763.40 ,16688419.60 ,19174242.60 ,22227054.30 ,23150385.60 ,23942866.40 ,27876297.20 ,32411224.10 ,37280841.40 ,36958550.10 , 
Montenegro,Millions,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2169.63 ,2689.13 ,3103.33 ,2993.88 ,3125.09 ,3264.78 ,3181.48 ,3362.48 ,3457.92 ,3654.51 ,3954.21 ,4299.09 ,4663.13 ,4950.72 ,4185.55 ,4911.62 
Montserrat,Millions,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,117.73 ,124.93 ,135.16 ,152.99 ,171.96 ,203.62 ,173.74 ,181.86 ,181.30 ,197.43 ,185.89 ,148.29 ,118.82 ,106.09 ,99.98 ,97.04 ,97.02 ,107.55 ,111.51 ,119.04 ,131.96 ,139.34 ,145.99 ,154.99 ,160.39 ,149.88 ,171.99 ,170.29 ,157.61 ,153.72 ,165.61 ,169.27 ,162.27 ,169.72 ,176.93 ,182.27 , 
Morocco,Millions,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,647530.00 ,716959.00 ,748483.00 ,784624.00 ,820077.00 ,847881.00 ,897923.00 ,925376.00 ,987950.00 ,1013229.00 ,1063045.00 ,1108463.00 ,1152806.00 ,1089521.00 , 
"Mozambique, Rep. of",Millions,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,161.07 ,126.47 ,138.30 ,131.78 ,145.00 ,195.00 ,214.72 ,693.18 ,1112.47 ,1746.08 ,3290.29 ,5212.00 ,6644.00 ,10575.00 ,16887.00 ,26170.00 ,43558.00 ,53664.00 ,62506.00 ,76349.00 ,86132.00 ,111770.00 ,134420.00 ,149909.00 ,172321.00 ,196989.00 ,233100.00 ,270053.00 ,305123.00 ,327866.00 ,377115.00 ,418037.00 ,463921.00 ,510997.00 ,555447.00 ,637760.00 ,752702.00 ,840526.00 ,895567.00 ,962621.00 ,974511.00 , 
Myanmar,Millions,,4456.00 ,4952.00 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1562780.00 ,2175920.00 ,2715860.00 ,3493530.00 ,5252850.00 ,7639510.00 ,9617070.00 ,12233920.00 ,16685190.00 ,23012010.00 ,29090660.00 ,33073780.00 ,37116330.00 ,42881380.00 ,49353310.00 ,55248770.00 ,61636860.00 ,68988060.00 ,74215750.00 ,82700020.00 ,92788960.00 ,105258500.00 ,115105760.00 , 
Namibia,Millions,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,61582.89 ,70110.51 ,75214.18 ,82599.19 ,90107.56 ,106862.61 ,117423.15 ,134835.97 ,146018.66 ,157707.67 ,171570.02 ,181067.05 ,181229.22 ,173895.88 ,180835.58 
"Nauru, Rep. of",Millions,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,45.00 ,42.00 ,39.00 ,29.00 ,42.00 ,60.00 ,54.00 ,67.00 ,94.00 ,96.00 ,114.00 ,104.00 ,137.00 ,145.00 ,160.00 ,166.00 ,171.00 , 
Nepal,Millions,, , , , , , , , , , , , , ,5607.30 ,6201.68 ,6893.79 ,8439.72 ,8079.50 ,8228.20 ,8945.16 ,10572.75 ,10234.64 ,11438.75 ,12685.88 ,16163.38 ,17551.59 ,17753.27 ,20099.34 ,22951.40 ,25839.51 ,27160.81 ,31762.24 ,34604.65 ,40374.30 ,47751.05 ,57172.60 ,68387.20 ,78377.00 ,94382.77 ,109555.25 ,126917.13 ,151934.59 ,187418.52 ,215605.47 ,244556.26 ,268982.19 ,305478.10 ,344259.16 ,369211.57 ,419763.17 ,465726.08 ,504737.25 ,525227.70 ,562710.70 ,613603.31 ,673806.41 ,747738.97 ,832040.66 ,932447.98 ,1129776.89 ,1363560.51 ,1562680.98 ,1758379.18 ,1949294.82 ,2232525.28 ,2423638.48 ,2608184.44 ,3077144.92 ,3455949.29 ,3858930.40 ,3914701.07 , 
"Netherlands, The",Millions,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,329547.00 ,344625.00 ,369046.00 ,394295.00 ,419459.00 ,452007.00 ,481881.00 ,501137.00 ,512810.00 ,529286.00 ,550883.00 ,584546.00 ,619170.00 ,647198.00 ,624842.00 ,639187.00 ,650359.00 ,652966.00 ,660463.00 ,671560.00 ,690008.00 ,708337.00 ,738146.00 ,773987.00 ,813055.00 ,800095.00 ,860719.00 
New Zealand,Millions,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,69278.00 ,73684.00 ,76679.00 ,75233.00 ,77308.00 ,82844.00 ,89110.00 ,94853.00 ,100480.00 ,103863.00 ,105869.00 ,111197.00 ,118346.00 ,126307.00 ,133687.00 ,141537.00 ,153009.00 ,160806.00 ,168969.00 ,183224.00 ,189450.00 ,191866.00 ,201532.00 ,211014.00 ,215924.00 ,228078.00 ,240902.00 ,251683.00 ,266620.00 ,286411.00 ,302614.00 ,320099.00 ,324140.00 ,350083.00 
Nicaragua,Millions,, , , , , , , , , , , , , ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.08 ,6.75 ,519.21 ,15706.17 ,19470.45 ,23364.54 ,25960.60 ,31177.74 ,36340.95 ,41476.83 ,49050.86 ,57346.03 ,64812.01 ,71563.32 ,74445.04 ,80390.36 ,92323.40 ,105776.81 ,118837.71 ,136950.18 ,164602.37 ,168791.31 ,187052.64 ,219182.21 ,247993.87 ,271529.83 ,308403.12 ,347707.29 ,380260.77 ,414279.06 ,410987.59 ,417705.14 ,433447.92 , 
Niger,Millions,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2418864.00 ,2596972.00 ,2762961.00 ,3247835.00 ,3403683.00 ,3779678.00 ,4058432.00 ,4679848.00 ,5013245.00 ,5377790.00 ,5725216.00 ,6162425.00 ,6494707.27 ,7114526.30 ,7567896.26 ,7909345.01 , 
Nigeria,Millions,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,139310.50 ,149051.22 ,158750.18 ,165854.20 ,187830.61 ,198123.16 ,244680.21 ,315615.33 ,414860.86 ,494643.67 ,590059.74 ,906029.29 ,1257174.86 ,1768791.49 ,3100235.09 ,4086065.21 ,4418708.75 ,4805156.41 ,5482354.32 ,7062751.07 ,8234493.68 ,11501450.40 ,13556973.69 ,18124060.02 ,23121900.00 ,30375200.00 ,34675900.00 ,39954200.00 ,43461500.00 ,56326400.00 ,64446300.00 ,73485300.00 ,81927400.00 ,91230400.00 ,96210500.00 ,102575000.00 ,114899000.00 ,129086907.45 ,145639139.38 ,154252318.90 , 
"North Macedonia, Republic of",Millions,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,248646.45 ,252393.47 ,258580.68 ,268693.55 ,280786.04 ,308447.20 ,334840.15 ,372889.24 ,414890.11 ,414621.90 ,437295.51 ,464186.33 ,466702.70 ,501891.00 ,527631.00 ,558953.62 ,594794.86 ,618105.48 ,660878.20 ,692682.87 ,655930.79 ,723239.34 
Norway,Millions,, , , , , , , , , , , , , , , , , , , , ,91530.00 ,102897.00 ,114362.00 ,129928.00 ,150379.00 ,171849.00 ,196119.00 ,220968.00 ,243888.00 ,269067.00 ,318279.00 ,365013.00 ,404325.00 ,449657.00 ,506486.00 ,562402.00 ,581913.00 ,634875.00 ,664084.00 ,708635.00 ,749860.00 ,790087.00 ,813093.00 ,855400.00 ,897243.00 ,963138.00 ,1054672.00 ,1141340.00 ,1163178.00 ,1265689.00 ,1507283.00 ,1564306.00 ,1561026.00 ,1620364.00 ,1783020.00 ,1989987.00 ,2216317.00 ,2350173.00 ,2607090.00 ,2428481.00 ,2591479.00 ,2792683.00 ,2964053.00 ,3071224.00 ,3140814.00 ,3111168.00 ,3098148.00 ,3295382.00 ,3553900.00 ,3563484.00 ,3410399.00 ,4144134.00 
Oman,Millions,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5381.80 ,5995.70 ,7500.60 ,7479.30 ,7744.90 ,8318.20 ,9521.60 ,11951.00 ,14309.50 ,16181.80 ,23418.10 ,18605.30 ,21883.10 ,26152.50 ,29458.80 ,30292.60 ,31011.90 ,26308.50 ,25136.60 ,27296.50 ,30678.80 ,29349.50 ,27706.87 , 
Pakistan,Millions,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8216160.00 ,9239786.00 ,10637772.00 ,13199707.00 ,14866996.00 ,18276440.00 ,20046500.00 ,22385657.00 ,25168805.00 ,27443022.50 ,29075633.00 ,31922302.94 ,34616302.00 ,37972310.00 ,41726683.00 , 
"Palau, Rep. of",Millions,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,149.00 ,156.00 ,162.00 ,154.00 ,165.00 ,184.00 ,190.00 ,194.00 ,195.00 ,183.00 ,183.00 ,194.00 ,212.00 ,224.00 ,243.00 ,290.00 ,300.00 ,287.00 ,286.00 ,275.00 ,257.00 , 
Panama,Millions,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,21295.98 ,25155.89 ,27116.64 ,29440.29 ,34686.22 ,40429.73 ,45599.99 ,49921.46 ,54091.71 ,57907.70 ,62202.73 ,64929.41 ,66984.43 ,53977.04 , 
Papua New Guinea,Millions,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,47700.00 ,57100.00 ,60100.00 ,65000.00 ,72500.00 ,79400.00 ,83800.00 ,81235.72 , 
Paraguay,Millions,, , , , , , , , , , , , ,45448.00 ,48372.00 ,51452.00 ,55892.00 ,58702.00 ,62077.00 ,65224.00 ,70093.00 ,74921.00 ,83736.00 ,96899.00 ,125437.00 ,168017.90 ,190439.00 ,214069.00 ,263612.00 ,322542.00 ,430514.00 ,560459.00 ,708689.00 ,737040.00 ,828294.31 ,1097250.19 ,1446575.38 ,1926794.47 ,2652657.88 ,3574774.16 ,5025116.75 ,7147738.44 ,9255684.16 ,10738283.27 ,12645361.49 ,14992331.68 ,17789145.33 ,20132862.10 ,21702866.40 ,25248610.40 ,27563440.66 ,30874087.61 ,34883186.50 ,41135696.94 ,49411959.70 ,57501991.73 ,66335828.41 ,75681657.80 ,89866048.80 ,107403590.63 ,111030933.59 ,129092883.48 ,141486449.39 ,147225506.09 ,166350805.11 ,180174060.97 ,188477326.98 ,204647273.08 ,219122277.20 ,230576477.47 ,236681497.06 ,239914728.79 , 
Peru,Millions,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,120263.00 ,135606.00 ,154905.00 ,162586.00 ,169859.00 ,180584.00 ,182527.00 ,192691.00 ,204337.00 ,227935.00 ,250749.00 ,290271.00 ,319693.00 ,352719.00 ,363943.00 ,416784.00 ,473049.00 ,508131.00 ,543556.00 ,570041.00 ,604416.00 ,647668.00 ,687989.00 ,731514.00 ,762476.00 ,706020.00 , 
Philippines,Millions,,6986.00 ,7784.00 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3697556.21 ,4024398.94 ,4350559.77 ,4717808.94 ,5323904.18 ,5917282.30 ,6550417.11 ,7198244.89 ,8050200.62 ,8390421.46 ,9399450.76 ,10144661.33 ,11060588.83 ,12050591.98 ,13206828.25 ,13944157.45 ,15132381.47 ,16556651.08 ,18265190.26 ,19517863.17 ,17938582.42 , 
"Poland, Rep. of",Millions,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,345060.00 ,431897.00 ,522582.00 ,607103.00 ,674530.00 ,748483.00 ,781548.00 ,812214.00 ,847152.00 ,933091.00 ,990530.00 ,1069431.00 ,1187508.00 ,1285571.00 ,1372025.00 ,1446844.00 ,1565251.00 ,1623442.00 ,1646724.00 ,1711244.00 ,1801112.00 ,1863487.00 ,1989835.00 ,2121555.00 ,2293199.00 ,2338996.00 ,2622184.00 
Portugal,Millions,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,89028.56 ,94351.59 ,102330.96 ,111353.38 ,119603.31 ,128414.45 ,135775.01 ,142554.26 ,146067.86 ,152248.39 ,158552.70 ,166260.47 ,175483.40 ,179102.78 ,175416.44 ,179610.78 ,176096.17 ,168295.57 ,170492.27 ,173053.69 ,179713.16 ,186489.81 ,195947.21 ,205184.12 ,214374.62 ,200087.57 ,211277.54 
Qatar,Millions,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,723369.00 ,750658.00 ,588733.00 ,552305.00 ,586400.80 ,667339.23 ,641991.41 ,525657.36 , 
Romania,Millions,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7610.60 ,11387.70 ,25500.10 ,37007.70 ,55126.40 ,80873.10 ,117391.40 ,152271.50 ,191917.60 ,244688.30 ,286861.90 ,342762.60 ,425691.10 ,539834.60 ,530894.40 ,528514.50 ,558889.90 ,591799.10 ,634967.80 ,669703.90 ,711929.90 ,763652.50 ,857895.70 ,951728.50 ,1058973.20 ,1058926.10 ,1181917.90 
