Country,Scale,Base Year,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Bolivia,Millions,, , , , , , , , , , , , , , , , , , , , ,0.01 ,0.01 ,0.02 ,0.03 ,0.04 ,0.05 ,0.06 ,0.07 ,0.08 ,0.09 ,0.12 ,0.16 ,0.40 ,1.46 ,23.22 ,2866.71 ,8924.09 ,10178.00 ,10805.50 ,12693.91 ,15443.14 ,19132.13 ,22014.00 ,24459.00 ,27636.00 ,32235.00 ,37536.65 ,41643.87 ,46822.33 ,48156.17 ,51928.49 ,53790.33 ,56682.33 ,61904.45 ,69626.11 ,77023.80 ,91747.80 ,103009.00 ,120694.00 ,121727.00 ,137876.00 ,166231.56 ,187153.88 ,211856.03 ,228003.66 ,228031.37 ,234533.00 ,259185.00 ,278387.65 ,282586.64 ,252717.68 , 
Bosnia and Herzegovina,Millions,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,11819.60 ,12678.17 ,13982.39 ,14728.01 ,15998.15 ,17650.34 ,20057.22 ,22547.86 ,25519.33 ,24798.52 ,25364.95 ,26231.26 ,26222.71 ,26778.76 ,27358.71 ,28589.05 ,29904.46 ,31376.24 ,33444.08 ,35295.75 ,34254.96 ,37324.39 
Botswana,Millions,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,140517.82 ,137539.20 ,164418.20 ,166473.50 ,172525.30 ,178480.40 ,172552.40 , 
Brazil,Millions,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,854763.60 ,952089.20 ,1002351.00 ,1087710.50 ,1199092.10 ,1315755.50 ,1488787.30 ,1717950.40 ,1957751.20 ,2170584.50 ,2409449.90 ,2720262.90 ,3109803.10 ,3333039.40 ,3885847.00 ,4376382.00 ,4814760.00 ,5331619.00 ,5778953.00 ,5995787.00 ,6269328.00 ,6585479.00 ,7004141.00 ,7389131.00 ,7467616.40 ,8679489.60 
Brunei Darussalam,Millions,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,17778.01 ,15747.72 ,16747.44 ,18300.66 ,18374.99 ,16564.44 , 
Bulgaria,Millions,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1275.68 ,2187.14 ,19032.36 ,26460.04 ,25042.94 ,28124.88 ,30986.69 ,34068.71 ,36637.91 ,41201.30 ,47017.24 ,53608.44 ,63454.89 ,72790.35 ,73181.47 ,74877.68 ,81124.45 ,82645.91 ,82241.82 ,84150.30 ,89599.76 ,95390.49 ,102740.64 ,109964.19 ,120395.23 ,119951.09 ,132744.28 
Burkina Faso,Millions,, , , , , , , , , , , , ,128659.38 ,161352.19 ,173986.99 ,183113.34 ,198591.47 ,192048.22 ,195316.16 ,231963.18 ,259080.81 ,267194.62 ,203437.58 ,207242.45 ,243541.21 ,286366.08 ,260616.29 ,333151.89 ,377206.54 ,447269.23 , , , , , , , , , , , , , , , , , , , ,2086187.98 ,2108160.11 ,2336620.42 ,2512872.15 ,2749159.24 ,2874882.70 ,3240716.11 ,3420539.89 ,3649928.07 ,4215340.62 ,4444600.58 ,5002181.84 ,5692822.88 ,6413105.90 ,6640134.95 ,6884466.39 ,6995311.00 ,7605123.00 ,8191299.00 ,8920421.28 ,9369187.71 ,9997387.36 , 
Burundi,Millions,, , , , , , , , , , , , , ,10790.25 ,11953.02 ,13241.08 ,14667.95 ,14651.31 ,15846.81 ,17875.23 ,19560.61 ,23864.54 ,22110.07 ,25104.31 ,28819.37 ,33712.53 ,38837.40 ,46633.90 ,48210.84 ,61821.11 ,85545.97 ,89022.49 ,94026.92 ,102818.65 ,120365.13 ,141246.24 ,140741.60 ,143487.64 ,152798.00 ,179420.01 ,193661.85 ,211848.87 ,225439.18 ,227737.54 ,233554.39 ,249686.88 ,262893.36 ,342542.34 ,399881.03 ,487880.42 ,627261.97 ,727963.00 ,768145.29 ,849381.92 ,1007491.57 ,1208244.00 ,1309900.00 ,1467231.00 ,1911139.00 ,2184177.00 ,2501047.00 ,2819534.00 ,3365810.00 ,3812500.00 ,4184999.00 ,4879793.00 ,4897101.00 ,5485068.00 ,5414485.00 ,5559586.34 ,5821376.84 , 
Cabo Verde,Millions,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,121974.00 ,134698.00 ,135879.00 ,138569.00 ,147924.00 ,150351.00 ,153723.00 ,154436.00 ,158699.00 ,165782.18 ,173097.40 ,183697.95 ,195202.29 ,164910.71 , 
Cambodia,Millions,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6813193.50 ,7105040.20 ,8433706.91 ,9201920.59 ,10145328.87 ,11720318.19 ,13376073.14 ,14082638.23 ,15633218.03 ,16780539.57 ,18535164.49 ,21438339.67 ,25754291.42 ,29849484.83 ,35042180.74 ,41968385.40 ,43056731.75 ,47047985.23 ,52068692.72 ,56616800.45 ,62219524.10 ,67740449.59 ,73422701.56 ,81241866.02 ,89830524.85 ,99544274.79 ,110014048.20 ,103511610.00 , 
Cameroon,Millions,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4582080.00 ,4942680.00 ,5423130.00 ,5674930.00 ,6297480.00 ,6665360.00 ,7118460.00 ,7504470.00 ,8022310.00 ,8614010.00 ,9261140.00 ,9927780.00 ,10286730.00 ,10924190.00 ,11452870.00 ,12360950.00 ,13136690.00 ,13610550.00 ,14434770.00 ,15395860.00 ,16658550.00 ,17966120.00 ,19043070.00 ,20038570.00 ,20960870.00 ,22203330.00 ,23243660.00 ,23486470.00 , 
